date,time,lat,long
10/01/2016,02:50:00,40.821235542,-73.87273267
02/22/2016,07:45:00,40.613881523,-74.066566315
02/16/2016,02:09:00,40.635720500000005,-73.88903687
03/30/2016,01:00:00,40.669193922,-73.905249599
10/09/2016,05:00:00,40.738626007,-73.887461773
01/14/2016,21:30:00,40.85502101,-73.881199099
02/27/2016,02:45:00,40.717875631999995,-73.99512060800001
04/05/2016,11:50:00,40.595869121,-73.781895432
08/11/2016,02:00:00,40.830178109,-73.918527663
03/24/2016,21:15:00,40.818789441999996,-73.888077695
08/16/2016,18:30:00,40.735043882,-73.862025325
04/09/2016,05:50:00,40.820930321,-73.91001951
07/17/2016,00:01:00,40.670009401,-73.869142422
05/30/2016,23:00:00,40.637804468,-73.942377197
02/12/2016,23:50:00,40.625363671,-74.082460842
06/09/2016,02:05:00,40.696540544,-73.840925377
07/08/2016,03:15:00,40.768628708,-73.871569638
07/17/2016,03:59:00,40.778057352,-73.920830053
10/03/2016,00:45:00,40.858590131999996,-73.893473066
09/12/2016,05:00:00,40.836678228000004,-73.915596087
08/22/2016,20:00:00,40.765024079,-73.98483595
06/09/2016,17:45:00,40.644637841,-73.951819571
12/07/2016,04:30:00,40.736553285,-73.98904625
